date,CSI
2019-06-30,0.280829807832976
2019-07-31,0.24643256640952493
2019-08-31,0.23045409147943713
2019-09-30,0.20877143609718493
2019-10-31,0.22587411836115756
2019-11-30,0.2281955469325861
2019-12-31,0.20273985007567957
2020-01-31,0.21283393609718493
2020-02-29,0.20984046451500368
2020-03-31,0.21836485007567957
2020-04-30,0.2471666933936519
2020-05-31,0.24466686571237262
2020-06-30,0.22158748093943947
2020-07-31,0.23768273872824563
2020-08-31,0.26158442843638696
2020-09-30,0.25343909482734367
2020-10-31,0.20167066164762018
2020-11-30,0.27663577941515727
2020-12-31,0.33176235982399577
2021-01-31,0.5108432610016712
2021-02-28,0.7097211986531585
2021-03-31,0.5881612747273774
2021-04-30,0.6763900200278623
2021-05-31,0.7217676152346795
2021-06-30,0.41432273217580884
